Vocal,Learn,Test,Wrong,Mymeaning,Meaning,Addon1,Addon2,Addon3
annul,,,,,v. 宣告无效 to declare invalid, annul the contract 废除合同," disprove, nullify, invalidate",
ethereal,,,,,adj. 超凡的，优雅的 delicate beauty, ethereal beauty 超凡的美丽, gossamer,
ethereal,,,,,adj. 精神的 spiritual, an ethereal attribute 精神上的特质, immaterial,
monolithic,,,,,adj. 大一统的 constituting a massive undifferentiated and rigid whole, an authoritarian and monolithic system 大一统的独裁体制, homogeneous,
repellent,,,,,adj. 令人讨厌的 causing aversion or disgust, a repellent behavior 令人讨厌的行为," off-putting, repulsive", repel v.驱除
profligate,,,,,adj. 挥霍的 wasteful, lead a profligate life 过着挥霍的生活," extravagant, spendthrift, prodigal",
nimble,,,,,adj. 机敏的 able to move quickly and easily,a nimble brain 机敏的大脑,,
shoddy,,,,,adj. 粗制滥造的 poorly done or made, shoddy goods 劣质商品, inferior,
verisimilitude,,,,,n. 写实主义，真 the quality of being true or real, verisimilitude of the document 文件的真实性," authenticity, realism",
sycophantic,,,,,adj. 拍马屁的 praising powerful people too much to get benefits, sycophantic journalists 拍马屁的新闻记者," flattery, adulatory, obsequious",
perforce,,,,,adv. 必然地 necessarily, What is true for TV broadcasts will perforce also apply to print media 在电视广播上适用的必," inevitably, unavoidably",
idiosyncratic,,,,,n. 独特的 odd or peculiar, an idiosyncratic custom 特殊习俗," distinctive, atypical, iconoclastic",idiosyncrasy n. 特点
discretionary,,,,,adj. 自主决定的 left to individual choice, discretionary service charge 自主决定的服务费," optional, elective",
cosmopolitan,,,,,adj. 见多识广的 /四海为家的having worldwide scope, a cosmopolitan traveler 见多识广的旅行者," open-minded, catholic",
panoply,,,,,n. 大批装备 a complete collection of things, a full panoply of experts 一大群专家,,
peremptory,,,,,adj. 专横的 characterized by arrogant self-assurance, a peremptory tone 专横的语气," haughty, imperious",
ramshackle,,,,,adj. 破烂的，摇摇欲坠的 appearing ready to collapse, a deserted and ramshackle cottage 废弃的破烂的小屋,,
snapshot,,,,,n. 简介 a brief summary, a snapshot of a complex industry 对复杂产业的简要介绍," abstract, synopsis",
fluster,,,,,v. 使慌乱 to make nervous, flustered by the interruption 因打扰而慌乱, rattle,
accentuate,,,,,v. 强调 to make more noticeable, accentuate the importance of communication skills 强调沟通技巧的重要性," emphasize, highlight, foreground",
cachet,,,,,n. 声望 the state of being respected, the cachet of Harvard 哈佛大学的声望, prestige,
contrite,,,,,adj. 后悔的 feeling sorry for something bad that you have done, a contrite apology 悔悟的道歉, penitent,
unanimous,,,,,adj. 一致同意的 having the agreement of all, a unanimous vote 一致同意的投票,,
aristocracy,,,,,n. 贵族 people born in the highest social class, members of the aristocracy 贵族成员,,aristocratic adj. 贵族的
hallow,,,,,v. 尊敬 to respect or honor greatly, hallowed ground 圣地,,
execrate,,,,,v. 痛恨 to dislike and criticize strongly, execrate the hideous side of religion 痛恨宗教丑恶的一面," abhor, detest, abominate",
perfidious,,,,,adj. 背叛的，不可靠的 not loyal and cannot be trusted, a perfidious lover 不忠的情人," disloyal, treacherous",perfidy n. 不忠
charlatan,,,,,n. 骗子 a person who falsely claims to have a special skill or knowledge, a charlatan in music 冒充音乐家的人," fraud, impostor, quack",
halcyon,,,,,adj. 平静的 peaceful and happy, halcyon days 岁月静好," serene, tranquil",
protean,,,,,adj. 多才多艺的 displaying great diversity, protean talent 多样的才华," all-round, versatile",
ennui,,,,,n. 厌倦 a lack of interest, the ennui of the pedestrian world 对平凡世界的倦怠," tedium, boredom",
hagiographic,,,,,adj. 过分谄媚的 overly or insincerely flattering, hagiographic portray received from the press 媒体谄媚的描述," adulatory, sycophantic",
adulterate,,,,,v. 掺杂 to make something impure or weaker, adulterate products with cheap additives 在产品中掺杂廉价的添加剂," alloy, contaminate",
resurgence,,,,,n. 复兴 the reappearance of something common in the past, the resurgence of classical school 古典学派的复兴," resurrection, recrudescence", resurgent adj.复兴的
analogous,,,,,v. 相似的 having qualities in common, A is analogous to B A 和 B 相似," comparable, parallel",
latent,,,,,adj. 潜在的 present but hidden, a latent infection 潜伏性传染病, dormant,
askew,,,,,adj. 歪的 not in a straight position, the picture hangs askew 画挂歪了," awry, oblique",
discrete,,,,,adj. 离散的，不连续的 not continuous, a discrete variable 离散的变量, disconnected,
protagonist,,,,,n. 支持者 the most important supporters, a protagonist of the new policy 新政策的拥护者," advocate, champion, espouser, proponent",
clutch,,,,,v. 抓住 to hold tightly, clutch one’s hands 抓住某人的手," cling to, grip",
rhetorical,,,,,adj. 辞藻华丽的 grand and impressive language, a long rhetorical speech 辞藻华丽的长篇演说," bombastic, eloquent, florid, grandiloquent",
equilibrium,,,,,n. 平静 a clam state, recover one’s equilibrium 恢复平静,,
quintessential,,,,,adj. 典范的 representing the most typical example, a quintessential New Yorker 典型的纽约人, typical,
regime,,,,,n. （政治上的）统治 lawful control, a brutal regime 残酷的统治," authority, governance",
milieu,,,,,n. 社会环境，氛围 environment, social and cultural milieu 社会和文化环境," ambient, context, setting",
reiterate,,,,,v. 再说一遍 to say again, reiterate one’s stance 重申某人的立场,,
prophetic,,,,,adj. 预言的 correctly saying what will happen in the future, a prophetic warning 预言性的警告," predictive, prescient",
condone,,,,,v. 宽恕 to accept and allow something wrong, condone corruption in politics 容忍政治腐败," excuse, remit",
acumen,,,,,n. 敏锐，洞察力 the ability to make good judgements and quick decisions, business acumen 商业头脑敏锐, shrewdness,
agonize,,,,,v. （使）非常痛苦 to feel deep sadness or mental pain, agonize over every decision 做每一个决定都伤脑经, suffer,
novice,,,,,"n. 新手 freshman, beginner", a novice chess player 象棋新手," fledgling, neophyte",
maverick,,,,,adj. 非传统的 unconventional and not conforming to accepted standards, a maverick view on marriage 关于婚姻的非传统看法," iconoclastic, heterodox, deviant",
martinet,,,,,n.纪律严格的人 a person who is very strict and demands obedience from others, the officer is a martinet 军官是一个纪律严格的人," disciplinarian, stickler",
quibble,,,,,v. 挑剔，吹毛求疵 to find fault or criticize for petty reasons, quibble over minor details 在小细节上吹毛求疵," carp, cavil, fuss",
sophism,,,,,n. 诡辩 deceptive or fallacious argumentation, win votes by using sophistry 用诡辩赢得投票, sophistry,
tyrant,,,,,n. 暴君 a ruler who exercises absolute power oppressively or brutally, fear the tyrant 害怕暴君," despot, dictator",
virtuoso,,,,,n. 技艺精湛的人 a person with masterly skill or technique in the arts, a violin virtuoso 资深小提琴艺术家," connoisseur, maven",
dilettante,,,,,n. 业余爱好者 a person having a superficial interest in an art, a dilettante artist 业余艺术家," amateur, dabbler",
vanguard,,,,,n. 先锋 the leaders of a movement, in the vanguard of scientific progress 处于科学发展的先锋地位," avant-garde, forerunner, pioneer",
philistine,,,,,n. 庸俗的人 a person who is guided by materialism and does not like art, the philistine’s vulgarity 市侩之人的粗俗,,
polymath,,,,,n. 博学的人 a person who knows a lot about different subjects, a brilliant polymath 杰出的博学家," pundit, savant",
marvel,,,,,"n. 令人惊奇的事物 one that evokes surprise, admiration or wonder", a marvel of modern engineering 现代工程领域的奇迹," miracle, wonder",
zealot,,,,,n. 狂热者 a person whose views and actions are very extreme, a religious zealot 宗教狂热者," extremist, fanatic, maniac",
practitioner,,,,,n. 从业者，职人 a person who practices a profession, a medical practitioner 医护人员," professional, specialist",
tycoon,,,,,"n. 大亨，巨头 a person of rank, power, or influence", an oil tycoon 石油大亨, magnate,
nonentity,,,,,n. 无足轻重的人 a person or thing of little significance, a political nonentity 政坛上的小人物,,
bellwether,,,,,n. 领头人 a person who takes the lead or initiative, Paris is a bellwether of the fashion industry 巴黎是一座引领时尚潮流的都市, pilot,
diehard,,,,,adj. 顽固的 strongly or fanatically determined or devoted, a diehard protester 顽固的抗议者," hidebound, reactionary, conservative",
wastrel,,,,,n. 败家子 a person who wastes time or money, a notorious wastrel 臭名昭著的败家子," profligate, spendthrift, squanderer",
forebear,,,,,n. 祖先 an ancestor, back to the land of one’s forebears 回到祖先的土地," antecedent, progenitor",
gourmand,,,,,n. 大胃王 a person who is excessively fond of eating and drinking, a gourmand who swallows food without even pausing to taste it 不尝味道就下咽的大胃王," gorger, glutton",
egalitarian,,,,,adj. 平等的 equal for all people, egalitarian policies 平等的政策," impartial, unprejudiced",
altruism,,,,,n. 雷锋精神，无私 unselfish regard for others, ambition that is masked as altruism 利他主义掩盖下的野心," selflessness, beneficence",
renegade,,,,,"n. 叛徒 one who rejects a religion, cause, allegiance, or group for another", a renegade without respect for the rule of law 不尊重法规的叛逆者," apostate, betrayer, traitor",
staunch,,,,,adj. 忠诚坚定的 firm in belief, a staunch believer in the democratic system 民主制度的坚定拥护者," dedicated, devout, steadfast",
precarious,,,,,adj. 危险的，不确定的 dangerously lacking in security, a precarious livelihood 不稳定的生计," fragile, perilous, dangerous",
sporadic,,,,,adj. 断断续续的，偶尔发生的 not often occurring, sporadic disturbances 偶尔发生的骚乱," intermittent, fitful",
lure,,,,,v. 诱惑 to persuade someone to do something, lure youngsters away from their lessons 诱惑青少年分散他们的学习注意力," allure, entice, seduce",
seemly,,,,,adj. 得体的 dress or behavior appropriate in the particular circumstances, a young lady of seemly appearance 打扮得体的年轻女性," decent, decorous, genteel",
tawdry,,,,,adj. 廉价俗艳的 cheap and showing a lack of taste, tawdry jewelry 俗艳的首饰," meretricious, gaudy, garish",
threshold,,,,,n. 临界点 the place or point of happening or changing, a high threshold for pain 很高的痛点," commencement, onset, turning point",
meander,,,,,v. 闲逛，漫步 to move aimlessly without fixed direction, meander along the river 沿着河闲逛," amble, ramble, wander",meandering adj. 曲曲折折折的
rustic,,,,,adj. 乡村的，田园的 typical of the country, a rustic charm 迷人的田园风情," bucolic, pastoral",
menace,,,,,v./n. 威胁，使处于危险 to make a show of intention to harm, menace the inhabitants of this planet 威胁着这个行星上的居民," compromise, hazard, imperil, jeopardize",
ascetic,,,,,adj. 节制的 living without any physical pleasures, an ascetic life 节制的生活," austere, spartan",
portentous,,,,,adj. 不吉利的 showing that something bad is going to happen, a portentous sign 不详的征兆," baleful, inauspicious, sinister, foreboding",
staple,,,,,adj. 必要的 forming a basic or important part of something, a staple ingredient 必要的成分," integral, requisite, essential",
herald,,,,,v. 预示 to give a slight indication of beforehand, herald a new era 预示着新时代," forerun, harbinger, foretell, prefigure, presage",
ruthless,,,,,"adj. 残忍的 having no pity, harsh", a ruthless dictator 残酷无情的独裁者," relentless, unsparing",
veracious,,,,,adj. 诚实的 telling the truth, a veracious witness 诚实的证人,, veracity n.真实
voracious,,,,,adj. 贪吃的，贪婪的 having a huge appetite, a veracious appetite 贪吃的胃口,"gluttonous, ravenous, rapacious",
witty,,,,,adj. 机智的 funny and clever, witty remarks 妙语,,
impecunious,,,,,"adj. 贫穷的 lacking money, poor", an impecunious family 贫穷的家庭," impoverished, indigent",
assiduous,,,,,adj. 勤奋认真的 hard-working and careful, an assiduous PhD student 勤奋的博士生," industrious, diligent, sedulous",
transgress,,,,,v. 违背 to fail to keep the rule, transgress accepted social norms 违背公认的社会准则," breach, contravene", transgression n.违规
kindred,,,,,adj. 类似的，同类的 similar, kindred topics 类似的话题, affiliated,
heterodox,,,,,adj. 异端的，非正统的 not following the usual or accepted beliefs, heterodox beliefs 异端观念," unconventional, unorthodox, iconoclastic",
obstinate,,,,,adj. 固执的 refusing to change your opinions, obstinate resistance to change 固执抵制改变," adamant, intransigent, obdurate, refractory",
debacle,,,,,"n. 大失败 a complete failure, disaster", the debacle of the war 战争的彻底失败," foundering, calamity, catastrophe, fiasco",
boon,,,,,"n. 福利，恩惠 benefit, blessing", a boon to people 人民的福音," benediction, benevolence",
sullen,,,,,adj. 不高兴的 angry and silent/天气沉闷的, lapse into a sullen silence 陷入不高兴的沉默," sulky, surly, morose, saturnine, gloomy",
bungle,,,,,v. 搞砸 fail to do something because of stupid mistakes, bungle a job 把工作搞砸," bumble, mess up, screw up",
pendulum,,,,,n. 摇摆不定的局面 something that alternates between opposites, the pendulum of public opinion 舆论的摇摆,,
relegate,,,,,v. 使降级 to give someone a lower or less important position than before, relegated to the role of assistant 降级做助手, downgrade,
vaunt,,,,,v. 吹嘘 to speak boastfully, vaunt his country’s military might 吹嘘他的国家的军事实力," boast, brag, brandish",
schism,,,,,n. 分裂，冲突 conflict in thinking or beliefs, a schism between political parties 党派间的冲突," discordance, dissonance, friction",
frugal,,,,,adj. 节俭的 careful to buy only what is necessary, be frugal in one’s expenditures 节约开销," economical, provident, sparing, thrifty", frugality n.节俭
turbulent,,,,,adj. 动荡的，混乱的 marked by sudden or violent disturbance, a turbulent period in history 历史上动荡时期," tempestuous, tumultuous",
panache,,,,,n. 神气十足，派头 confidence and elegance of style, undemonstrative panache 含蓄的华丽," flamboyance, flair",
gawky,,,,,adj. 笨拙的 having or showing an inability to move in a graceful manner, a gawky long-legged teenager 笨拙的长腿少年," awkward, gawkish, ungainly",
copious,,,,,adj. 大量的 large in quantity, a copious harvest 大丰收," plentiful, abundant, ample, bountiful",
negligent,,,,,adj. 疏忽大意的 failing to give proper attention or care, negligent in taking care of the children 粗心大意地照顾孩子," derelict, heedless, inattentive",
curtail,,,,,v. 缩短 to make less in extent or duration, curtail your holiday 缩短你的假期," abbreviate, abridge, truncate",
ecstasy,,,,,n. 狂喜 intense joy, be in ecstasy over the offer from Harvard University 因被哈佛的录取而欣喜如狂," elation, euphoria, exhilaration, rapture",
disgruntle,,,,,v.发怒，使不满意 to make discontented, be disgruntled with someone 对某人不满," disaffect, discontent, displease",
vanquish,,,,,v. 打败，征服 to defeat in a conflict or contest, vanquish one’s inner fear 战胜内心的恐惧," conquer, subjugate",
prevaricate,,,,,v. 撒谎 to avoid giving direct answers to hide the truth, prevaricate when asked some pointed questions 在被问到尖锐问题时支吾其词," equivocate, fabricate", prevarication n.撒谎（近：mendacity）
eclectic,,,,,adj. 混合的 composed of elements drawn from various sources, eclectic tastes in music 音乐品味广泛," heterogeneous, assorted, motley",
propagate,,,,,v. 传播，宣传 to cause to spread out, propagate an idea 传播理念," broadcast, disseminate",
blight,,,,,v. 损害 to impair the quality or effect of, an area blighted by unemployment 饱受失业之苦的地区," deteriorate, impair, mar, compromise",
exigent,,,,,adj. 紧急的 requiring immediate aid or action, exigent circumstances 紧急情况," pressing, urgent",
erstwhile,,,,,adj. 以前的 in the past, the erstwhile president 前总裁, onetime,
inveigle,,,,,"v. 诱骗 to persuade someone to do something, especially in a dishonest way", inveigle consumers into buying the item 诱骗顾客购买商品," bait, lure, entice",
timorous,,,,,adj. 胆小的 lacking in courage or self-confidence, be as timorous as a rabbit 像兔子一样胆小," diffident, timid, skittish",
posture,,,,,v. 装模作样 to assume an artificial or pretended attitude, posture to impress 故作姿态以给别人留下印象," feign, affect",
snare,,,,,n. 无法逃脱的困境 something that catches and holds, caught in the snare of drug addiction 处于吸毒上瘾的困境之中," entanglement, trap",
beholden/behold,,,,,"adj. 欠……人情的 owing something, such as gratitude, to another/注视", not like to be beholden to anybody 不喜欢欠别人人情," indebted, obligated",
nascent,,,,,adj. 新生的 coming or having recently come into existence, the nascent middle class 新生中产阶级," budding, emerging, inchoate, incipient, unformed",
deft,,,,,adj. 灵巧的，熟练的 characterized by facility and skill, deft fingers 灵活的手指," adroit, dexterous, adept",
feeble,,,,,adj. 衰弱的 lacking in strength, feeble and irregular heartbeat 虚弱且不规则的心跳," debilitated, effete, enervated",
tactless,,,,,adj. 不机智的，没情商的 likely to offend or upset people, tactless comments 不明智的评论," impolitic, imprudent, injudicious, undiplomatic",
prerogative,,,,,"n. 特权，权力 an exclusive or special right, power, or privilege", the royal prerogative 君主特权," privilege, entitlement",
vigilant,,,,,adj. 警惕的 alertly watchful especially to avoid danger, remain vigilant at all times 随时保持警惕," alert, cautious, observant, watchful",
entreat,,,,,v. 恳求，乞求 to ask someone earnestly or anxiously to do something, entreat aid 恳求援助," beseech, implore, supplicate", entreaty n.乞求
insipid/sipid,,,,,"adj. 平淡的，无聊的 not interesting, exciting/味道好的", an insipid story of the prince and the princess 一个关于王子和公主的无聊故事," bland, vapid, banal, tedious",
salubrious,,,,,adj. 有益健康的 healthy and pleasant, salubrious habits 健康的习惯," restorative, salutary, tonic, wholesome",
tangible,,,,,adj. 可感知的 capable of being perceived, tangible property 有形财产," palpable, perceptible, discernable",
tangible,,,,,adj. 确凿的，真实的 real or concrete, tangible evidence 确凿的证据, substantial,
nebulous,,,,,adj. 模糊的，不清楚的 not at all clear or exact, a nebulous description of the topic 对于主题的模糊描述," vague, ambiguous, murky, obscure",
strenuous,,,,,adj. 费力的，艰难的 needing great effort and energy, a strenuous climb 艰难的攀登," arduous, grueling, laborious, demanding, exacting",
prodigious,,,,,adj. 巨大的，惊人的 impressively great in size, prodigious amounts of information 大量的信息," colossal, tremendous, voluminous",
distort,,,,,v. 曲解，扭曲 to change something so that it is no longer true or accurate, distort the truth 曲解事实," wrench, twist, wrap, misinterpret, misconstrue",
encroach,,,,,"v. 侵占，蚕食 to advance gradually take more of someone’s time, possessions, rights", encroach upon the freedom of the individual 侵犯个人自由,,
vicinity,,,,,n. 附近 the area around a particular place, in the vicinity of 在……附近," neighborhood, proximity",
tentative,,,,,adj. 暂时的，初步的 not fully worked out or developed, tentative conclusions 初步结论," conditional, provisional, temporary",
cavalier,,,,,adj. 漫不经心的，不在乎的 showing no concern to rules, a cavalier attitude to the laws 对法律漫不经心的态度," debonair, capricious",
finesse,,,,,n. 娴熟技巧 great skill and style, orchestral playing of great finesse 管弦乐队的精妙演奏," adroitness, dexterity",
insidious,,,,,adj. 暗中有害的 causing harm in a way that is gradual or not easily noticed, the insidious effects of polluted water supplies 供水系统污染的潜在恶果,,
ostensible,,,,,adj. 表面的 appearing to be true but not necessarily so, the ostensible reason 表面理由," apparent, ostensive, seeming",
fluctuate,,,,,v. 波动 to change a lot in a regular way, stock prices fluctuate wildly 股票价格大幅波动," oscillate, waver, vacillate",
indoctrinate,,,,,adj. 灌输 to instruct especially in fundamentals or rudiments, indoctrinate someone with a belief 向某人灌输信仰," educate, teach, instruct",
suffrage,,,,,n. 选举权，投票权 to right to vote in political elections, the women’s suffrage movement 女性选举权运动," ballot, enfranchisement",
exile,,,,,v./n. 流放 to force someone to leave their country, the party’s exiled leader 该党的流亡领袖," banish, displace, expatriate, expel",
prescribe,,,,,v. 开药方 say what medicine or treatment a sick person should have, the drugs prescribed for his stomach pains 开给他治疗胃痛的药物,, prescription n.药方
curt,,,,,"adj. 言词简略、直接（以至显得粗鲁）的 direct, brief, and potentially rude", a curt reply 唐突无礼的答复," abrupt, bluff, terse",
purvey,,,,,v. 供给，供应 to supply good and service, a shop purveying cooked food 供应熟食的商店,, purveyor n.供应商
decimate,,,,,v. 大量毁坏、杀死 to destroy a very large amount, famine decimated the population 饥荒使人口大批丧生," annihilate, devastate, raze",
amenable,,,,,"adj. 听话的，顺从的 readily brought to yield, submit, or cooperate", amenable children 乖孩子," compliant, docile, submissive, subservient, tractable",
hiatus,,,,,n. 间歇 a pause or gap in a process, a hiatus in research 研究的中断," discontinuity, gap, interruption, interlude",
escalate,,,,,"v. 升级，扩大 to increase in extent, amount or scope", escalate the war 战争升级," aggrandize, amplify, augment, boost, wax",
vernacular,,,,,adj. 非正式的，口头的 used in or suitable for speech and not formal writing, a very easy-to-read and vernacular style 易懂的口头化风格," conversational, informal, colloquial",
hitherto,,,,,adv. 迄今为止 until now, a hitherto unknown species 迄今仍属未知的种类,,
oblivious,,,,,adj. 没有意识到的 unaware of something, oblivious to pain 感觉不到疼痛," incognizant, insensible, unconscious, unwitting",
refractory,,,,,adj. 倔强的，不听话的 resisting control or authority, refractory children 不听话的孩子," balky, obstreperous, rebellious, unruly",
abiding,,,,,adj. 持久的 lasting for a long time, a deep and abiding love 深厚不渝的爱," enduring, everlasting, long-lived, eternal, permanent",
concur,,,,,v. 同意 to express agreement, concur with each other in this view 在这个观点上取得一致意见,,
extrapolate,,,,,v. 推断 to estimate something using the facts that you have now, extrapolate these results from past trends 通过过去的趋势推断这些结果," deduce, infer",
cajole,,,,,v. 哄骗 to persuade with flattery or gentle urging, cajole someone into doing something 哄骗某人做某事," coax, wheedle",
gravitate,,,,,v. 被吸引 move towards or be attracted to, gravitate to the cities in search of work 被吸引到城里找工作,,
albeit,,,,,conj. 尽管 although," he is making progress, albeit rather slowly 他在进步，尽管很缓慢",,
credulous,,,,,adj. 轻信的，易受骗的 too ready to believe things and therefore easy to trick, swindle credulous investors 诈骗轻信的投资者, gullible,
numinous,,,,,adj. 神秘的 supernatural and mysterious, a numinous place 神秘的地方," mystic, occult",
winnow,,,,,v. 筛选 to make a list or group smaller by removing the less desirable choices, winnow truth from falsehood 去伪存真," sift, screen",
indulgent,,,,,adj. 放纵的，纵容的 tending to allow someone to do whatever they want, indulgent parents 纵容孩子的父母,,
snub,,,,,v./n. 轻视，不理睬 to treat with contempt or neglect, snub someone in public 在公共场合冷落某人," disdain, slight, disregard",
obliterate,,,,,v. 消除 to remove from existence, obliterate something from one’s memory 把某事从记忆里消除," efface, expunge",
obtuse,,,,,adj. 愚钝的 slow to understand things, too obtuse to take the hint 过于愚笨无法理解暗示," fatuous, vacuous",
trenchant,,,,,"adj. （言辞）一针见血的 expressed strongly, effectively and directly", trenchant criticisms 一针见血的批评, incisive,
instigate,,,,,v. 煽动，激起 to cause something bad happen, instigate racial violence 煽动种族暴力," abet, foment, provoke, whip up",
molder,,,,,v. 腐烂，腐朽 to decay gradually, moldering books 发霉的书籍," disintegrate, decay, fester",
choreograph,,,,,v. 精心安排 to work out the details of something in advance, a carefully choreographed meeting 一场精心安排的会议," calculate, blueprint, lay out",
compartmentalize,,,,,v. 划分 to divide something into separate sections, compartmentalize life into work and leisure 把生活分成工作和闲暇两部分," categorize, classify",
fealty,,,,,n. 忠诚 loyalty, vow fealty to the king 发誓向国王效忠," adhesion, allegiance, fidelity",
bristle,,,,,v. 生气，发怒 to express one's anger usually violently, bristle at his rudeness 对他的无礼非常恼火,,
languish,,,,,v. 变得衰弱 to become weak or unsuccessful, languish in the drought 因干旱变得衰弱," fade, flag, wither",
ancillary,,,,,adj. 次要的，辅助的 of secondary importance, ancillary staff 辅助人员,,
consummate,,,,,"adj. 完美的 perfect, extremely skillful", consummate skill 完美的技巧," flawless, impeccable, accomplished, supreme",
goad,,,,,"v. 刺激,激发 to urge someone to do something", goad someone into doing something 激励某人做某事," prod, nudge, spur, provoke",
seminal,,,,,adj. 具有开创性的 creative and important, a seminal novel 具有开创性的小说," groundbreaking, pioneering, original, innovate",
tepid,,,,,adj. 不热情的 showing little or no interest or enthusiasm, a tepid response 冷漠的回应," lukewarm, half-hearted",
decrepitude,,,,,n. 衰老，破旧 the state of being old, resist decrepitude 对抗衰老, senescence,
conversant,,,,,adj. 熟悉的 having frequent or familiar association, conversant in several languages 熟练掌握多种语言," acquainted, well-informed, versed",
tribulation,,,,,"n. 痛苦，悲伤，折磨 unhappiness, pain or suffering", the trials and tribulations of everyday life 日常生活的磨练与艰难,,
beleaguer,,,,,v. 困扰 to trouble persistently, beleaguered by the problem 被问题困扰," plague, harass, beset",
encapsulate,,,,,v. 概括 to summarize in a short way, encapsulated in one sentence 用一句话概括," abstract, epitomize, synopsize, recapitulate",
myopic,,,,,adj. 缺乏远见的 a lack of foresight or discernment, a myopic view on climate change 关于气候变化缺乏远见的观点," shortsighted, narrow-minded",
expostulate,,,,,v. 抗议，表示异议 to disagree with something or argue against it, expostulate with one’s opinion 不同意某人的观点," demur, protest, remonstrate",
vicissitude,,,,,n. 自然变化 natural change in nature or in human affairs, vicissitude of daily life 日常生活的跌宕起伏," fluctuation, mutation, shift, variation",
piecemeal,,,,,adj. 零碎的 done piece by piece in a gradual way, a piecemeal approach to the problem 零碎的解决问题方式, fragmentary,
machination,,,,,n. 阴谋诡计 a secret and complicated plan, machination to assassinate the president 刺杀总统的阴谋,,
nefarious,,,,,adj. 罪恶的 evil or criminal, nefarious activities such as drug trafficking and fraud 贩毒和诈骗之类的罪恶活动, vicious,
indignant,,,,,adj. 愤慨的 angry because you feel unfairly treated, indignant at the increased prices 对涨价感到气愤," enraged, incensed, infuriated",
sabotage,,,,,v. 蓄意破坏 to damage or destroy deliberately, sabotage the peace talks 破坏和平谈判," disrupt, undermine, thwart",
enamored,,,,,adj. 迷恋的 filled with an intense or excessive love for, enamored of the movie idol 迷恋影星," bewitched, captivated, infatuated",
strident,,,,,"adj. 刺耳的 characterized by harsh, insistent, and discordant sound", plagued by the strident noise 被刺耳的噪声所折磨," grating, jarring, cacophonous",
muckrake,,,,,v. 揭发丑闻 to expose misconduct concerning public figures, muckraking journalism 揭发丑闻的新闻工作,,
revel,,,,,v. 陶醉 to take intense pleasure or satisfaction, revel in the attention 为受到瞩目而陶醉,,
prophylactic,,,,,adj. 预防性的 tending to prevent disease, prophylactic treatment 预防性治疗, preventive,
imbibe,,,,,v. 喝水，摄取水分 to take in (something liquid) through small openings, imbibe water through roots 通过根系吸收水分, sip,
supple,,,,,adj. 易弯曲的，柔软的 readily bent, supple limbs 柔软的四肢," flexible, lissome, pliable",
rapprochement,,,,,n. 和睦，友好 establishment of or state of having cordial relations, an era of rapprochement between China and Russia 中俄两国友好关系的时代, rapport,
wield,,,,,v. 行使，支配（权力） to have and use power or authority, wield enormous power within the party 操纵着党内大权," exercise, exert",
beget,,,,,v. 引发，导致 to make something happen, poverty begets debt 贫穷导致债务," engender, generate, yield, bring about",
reprehensible,,,,,adj. 不道德的，应受谴责的 morally wrong and deserving criticism, a reprehensible tyrant 应受谴责的暴君," deplorable, reproachable",
potent,,,,,adj. 有强效的 powerful and effective, potent drugs 猛药,,
expurgate,,,,,v. 删减 to change a written work by removing parts that might offend people, an expurgated edition of the letters 删减版的信件," censor, suppress",
triumvirate,,,,,n. 三巨头 a group of three powerful people, triumvirate of imperatives 三大必要条件,,
bemoan,,,,,v. 哀悼，抱怨 to feel sorry or dissatisfied about, bemoan the lack of sports facilities 抱怨运动设施的缺乏," lament, deplore",
misfeasance,,,,,n. 不当行为 the performance of a lawful action in an illegal or improper manner,," transgression, misconduct, fraudulence",
platitude,,,,,n. 陈词滥调 a banal remark or statement, the platitude of most political oratory 政治说辞里的陈词滥调," banality, bromide, cliché",
meld,,,,,v./n. 合并 to combine or blend in a pleasant way, meld country music with blues 把蓝调音乐融合进乡村音乐," amalgamate, fuse, merge, mingle",
extenuate,,,,,v. 减轻（罪过） to lessen the seriousness or extent of by making partial excuses, extenuate a crime 减轻罪行的严重性,,
ploy,,,,,n. 计谋，花招 a clever trick or plan, a clever marketing ploy 机智的销售策略," artifice, device, maneuver, scheme",
hyperbole,,,,,n. 夸张 exaggeration, “enough food to feed a whole army” is a common example of hyperbole “能喂饱一整个军队, overstatement,
succumb,,,,,v. 屈服 to yield to superior strength, succumb to pressure 屈服于压力," capitulate, surrender, subject, yield",
sever,,,,,"v. 割断 to set something apart, separate", sever a rope 割断绳子,,
paraphernalia,,,,,n. 大量装备 the equipment needed for a particular activity, travelling paraphernalia 旅行装备,,
conspire,,,,,v. 秘谋串通 to plan together secretly to commit an illegal or wrongful act, conspire to abscond 密谋潜逃," contrive, collude, intrigue",
detritus,,,,,n. 废品，遗骸 a product of disintegration or destruction, the detritus of war 战争的遗骸," debris, residue",
stipulate,,,,,v. 规定 say clearly that something must be done, to stipulate a price 规定价格,, stipulation n.规定
brackish,,,,,adj. 含盐的 slightly salty and unpleasant, brackish water 微咸的水,,
malodorous,,,,,adj. 难闻的 having an unpleasant smell, malodorous rubbish bags 恶臭的垃圾袋," noisome, smelly, stinky",
redolent,,,,,adj. 芳香的 having or emitting fragrance, be redolent with the aroma of baking bread 充满了烤面包的香味," ambrosial, aromatic, fragrant",
contingent,,,,,adj. 取决于 depending on something else, A is contingent on B A 取决于 B,,
